event_id,campaign_id,customer_id,event_type,timestamp
ee_0000001,ec_0001,cust_008490,sent,2024-06-01T10:00:00
ee_0000002,ec_0001,cust_008490,opened,2024-06-01T12:00:00
ee_0000003,ec_0001,cust_003557,sent,2024-06-01T10:00:00
ee_0000004,ec_0001,cust_015713,sent,2024-06-01T10:00:00
ee_0000005,ec_0001,cust_002517,sent,2024-06-01T10:00:00
ee_0000006,ec_0001,cust_012415,sent,2024-06-01T10:00:00
ee_0000007,ec_0001,cust_010262,sent,2024-06-01T10:00:00
ee_0000008,ec_0001,cust_010262,opened,2024-06-01T11:00:00
ee_0000009,ec_0001,cust_021792,sent,2024-06-01T10:00:00
ee_0000010,ec_0001,cust_013990,sent,2024-06-01T10:00:00
ee_0000011,ec_0001,cust_006499,sent,2024-06-01T10:00:00
ee_0000012,ec_0001,cust_001735,sent,2024-06-01T10:00:00
ee_0000013,ec_0001,cust_016561,sent,2024-06-01T10:00:00
ee_0000014,ec_0001,cust_014811,sent,2024-06-01T10:00:00
ee_0000015,ec_0001,cust_014811,opened,2024-06-01T11:00:00
ee_0000016,ec_0001,cust_020764,sent,2024-06-01T10:00:00
ee_0000017,ec_0001,cust_013097,sent,2024-06-01T10:00:00
ee_0000018,ec_0001,cust_001989,sent,2024-06-01T10:00:00
ee_0000019,ec_0001,cust_001989,opened,2024-06-01T15:00:00
ee_0000020,ec_0001,cust_010898,sent,2024-06-01T10:00:00
ee_0000021,ec_0001,cust_010898,opened,2024-06-01T18:00:00
ee_0000022,ec_0001,cust_000626,sent,2024-06-01T10:00:00
ee_0000023,ec_0001,cust_020622,sent,2024-06-01T10:00:00
ee_0000024,ec_0001,cust_015308,sent,2024-06-01T10:00:00
ee_0000025,ec_0001,cust_015308,opened,2024-06-01T15:00:00
ee_0000026,ec_0001,cust_000998,sent,2024-06-01T10:00:00
ee_0000027,ec_0001,cust_004163,sent,2024-06-01T10:00:00
ee_0000028,ec_0001,cust_006557,sent,2024-06-01T10:00:00
ee_0000029,ec_0001,cust_014397,sent,2024-06-01T10:00:00
ee_0000030,ec_0001,cust_019547,sent,2024-06-01T10:00:00
ee_0000031,ec_0001,cust_006600,sent,2024-06-01T10:00:00
ee_0000032,ec_0001,cust_008293,sent,2024-06-01T10:00:00
ee_0000033,ec_0001,cust_007946,sent,2024-06-01T10:00:00
ee_0000034,ec_0001,cust_007946,opened,2024-06-01T21:00:00
ee_0000035,ec_0001,cust_001316,sent,2024-06-01T10:00:00
ee_0000036,ec_0001,cust_015923,sent,2024-06-01T10:00:00
ee_0000037,ec_0001,cust_014922,sent,2024-06-01T10:00:00
ee_0000038,ec_0001,cust_010505,sent,2024-06-01T10:00:00
ee_0000039,ec_0001,cust_005148,sent,2024-06-01T10:00:00
ee_0000040,ec_0001,cust_001794,sent,2024-06-01T10:00:00
ee_0000041,ec_0001,cust_007585,sent,2024-06-01T10:00:00
ee_0000042,ec_0001,cust_006488,sent,2024-06-01T10:00:00
ee_0000043,ec_0001,cust_003174,sent,2024-06-01T10:00:00
ee_0000044,ec_0001,cust_010734,sent,2024-06-01T10:00:00
ee_0000045,ec_0001,cust_007665,sent,2024-06-01T10:00:00
ee_0000046,ec_0001,cust_003787,sent,2024-06-01T10:00:00
